"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_13.tif", "0", "0", "63700", "3456447"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_14.tif", "349", "228", "49833", "4267326"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_15.tif", "339", "458", "33426", "977321"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_16.tif", "735", "176", "71674", "7621028"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_17.tif", "239", "142", "37710", "2208987"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_18.tif", "944", "369", "74426", "1674232"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_19.tif", "585", "155", "46005", "5667443"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_20.tif", "684", "285", "80402", "4405727"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_21.tif", "334", "411", "56113", "1721618"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_22.tif", "6", "3", "117328", "4559543"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_23.tif", "56", "184", "25709", "876204"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_24.tif", "444", "484", "45803", "1066428"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_25.tif", "609", "399", "57458", "1668771"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_5.tif", "362", "43", "31394", "871328"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_6.tif", "547", "211", "51214", "1137097"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_7.tif", "8", "289", "58348", "4914429"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_8.tif", "2", "1", "34594", "930623"
"w1_HelaKyoto_Gapdh_2597_p04_cy3__Cell_CP_9.tif", "2", "291", "26909", "5558784"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_10.tif", "40", "144", "23393", "1877345"
